;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
42847;1;3;9;0;2021-05-10T12:53:34.729Z;2021-05-10T12:53:29.258Z;2021-05-10T12:53:35.369Z;0.64;12; widening;3
43240;1;3;9;2;2021-05-10T12:53:51.352Z;2021-05-10T12:53:46.188Z;2021-05-10T12:53:51.539Z;0.187;12; widening;1
43953;1;3;10;2;2021-05-10T12:54:28.458Z;2021-05-10T12:54:25.087Z;2021-05-10T12:54:28.477Z;0.019;6; widening;1
44335;1;3;11;0;2021-05-10T12:54:50.808Z;2021-05-10T12:54:46.756Z;2021-05-10T12:54:50.910Z;0.10200000000000001;15; widening;8
44683;1;3;11;2;2021-05-10T12:55:07.406Z;2021-05-10T12:55:02.455Z;2021-05-10T12:55:07.527Z;0.12100000000000001;15; widening;1
45038;1;3;11;4;2021-05-10T12:55:23.547Z;2021-05-10T12:55:16.036Z;2021-05-10T12:55:23.841Z;0.29400000000000004;15; widening;11
47213;1;3;13;2;2021-05-10T12:57:04.871Z;2021-05-10T12:56:58.130Z;2021-05-10T12:57:05.335Z;0.464;18; widening;1
48575;1;3;14;4;2021-05-10T12:58:11.418Z;2021-05-10T12:58:05.846Z;2021-05-10T12:58:12.091Z;0.673;18; widening;1
48673;1;3;15;0;2021-05-10T12:58:19.077Z;2021-05-10T12:58:15.623Z;2021-05-10T12:58:19.225Z;0.14800000000000002;6; widening;1
48874;1;3;15;2;2021-05-10T12:58:29.389Z;2021-05-10T12:58:26.398Z;2021-05-10T12:58:29.448Z;0.059000000000000004;6; widening;4
49758;1;3;16;0;2021-05-10T12:59:09.981Z;2021-05-10T12:58:49.184Z;2021-05-10T12:59:10.005Z;0.024;18; widening;1
50586;1;3;16;3;2021-05-10T12:59:45.615Z;2021-05-10T12:59:32.792Z;2021-05-10T12:59:45.908Z;0.29300000000000004;18; widening;17
51457;1;3;17;2;2021-05-10T13:00:26.519Z;2021-05-10T13:00:21.853Z;2021-05-10T13:00:26.647Z;0.128;15; widening;1
