;Proband__;Trial__;Duration_ densening_6;Duration_ densening_9;Duration_ densening_12;Duration_ densening_15;Duration_ densening_18;Duration_ densening_21;Duration_ direct_6;Duration_ direct_9;Duration_ direct_12;Duration_ direct_15;Duration_ direct_18;Duration_ direct_21;Duration_ widening_6;Duration_ widening_9;Duration_ widening_12;Duration_ widening_15;Duration_ widening_18;Duration_ widening_21
62;13;2;6.482666666666667;7.470666666666666;33.489;10.291;10.741666666666667;15.920333333333332;5.042;6.9703333333333335;13.693;28.003666666666664;13.654333333333334;14.396666666666667;4.800333333333334;10.854333333333335;9.722;11.232;12.639333333333333;21.782666666666668
63;13;3;4.668;4.564333333333334;10.521333333333333;8.21;6.78;10.012333333333332;7.275333333333333;6.103000000000001;9.407666666666666;11.030333333333333;12.855333333333334;8.648000000000001;4.9799999999999995;8.213;8.268333333333333;8.962;8.970333333333334;10.971333333333334
64;13;4;11.147666666666666;9.185333333333334;7.962;9.854;7.5120000000000005;12.882333333333333;4.811333333333333;7.142;5.9606666666666674;10.758666666666665;8.900333333333334;14.927333333333332;4.936;7.2620000000000005;6.782333333333334;12.751333333333333;48.068000000000005;15.299666666666667
65;14;0;5.215;6.103333333333334;7.871333333333333;9.097333333333333;9.847;12.052;5.846;6.668666666666667;7.257666666666666;10.416;8.310666666666668;12.481333333333334;4.616333333333333;7.488666666666667;6.4623333333333335;5.340333333333334;9.087666666666665;25.608666666666664
66;14;1;5.588666666666666;6.873666666666668;6.158666666666666;8.722333333333333;7.602999999999999;8.984666666666667;6.291666666666667;8.687;7.837000000000001;7.375;8.112666666666668;9.222666666666667;5.315666666666666;6.087666666666666;4.833666666666667;16.627666666666666;7.255;9.015
67;14;2;10.731333333333334;7.0136666666666665;10.085333333333333;7.343;8.589;7.307666666666667;5.380333333333333;6.09;7.044999999999999;8.107333333333333;9.841333333333333;10.511000000000001;4.362666666666667;6.479;6.633333333333333;11.678333333333333;12.012333333333332;15.392333333333333
68;14;3;5.177666666666667;5.479666666666667;7.689666666666667;7.2;9.762333333333332;10.587333333333333;6.108333333333333;8.314333333333332;9.671999999999999;14.589666666666666;8.868333333333334;12.306666666666667;5.037;7.573666666666667;7.8180000000000005;9.666;8.114333333333333;13.09066666666667
69;14;4;5.753;7.986;6.589666666666666;9.587000000000002;9.434;10.470666666666666;6.465333333333334;6.858333333333333;5.624666666666666;8.551333333333334;14.849666666666666;10.874;5.8693333333333335;12.543;10.665666666666667;7.139666666666667;9.785666666666666;6.973333333333334
70;15;0;6.625666666666667;131.21133333333333;13.982666666666667;10.547666666666666;9.262333333333332;12.666000000000002;5.715333333333334;8.115333333333334;7.695;9.888666666666667;6.142666666666667;9.229666666666667;7.127333333333333;11.597999999999999;7.119666666666667;11.676333333333334;10.996666666666668;8.997666666666667
71;15;1;5.841333333333334;10.644333333333334;12.162333333333335;8.359333333333334;8.242333333333333;12.031333333333334;5.105;11.514666666666665;7.539666666666666;6.124666666666667;9.064666666666666;14.955;5.789000000000001;7.904;7.139333333333333;11.495333333333335;11.010666666666665;9.754666666666667
