;MappingMethod;FrameNumber_Start;FrameNumber_Finish;Block;Task;Trial;NumLayers;Target;Target_Relative;Result;Result_Numeric_Completed;Result_Numeric_Terminated;Result_Numeric_Failed;Proband
587; direct;17414;17691;1;10;2;18;9;0.5; TERMINATED;0;1;0;03
588; direct;17781;18061;1;10;3;18;5;0.2777777777777778; TERMINATED;0;1;0;03
589; direct;18121;18336;1;10;4;18;1;0.05555555555555555; COMPLETED;1;0;0;03
590; direct;18508;18692;1;11;0;12;3;0.25; TERMINATED;0;1;0;03
591; direct;18809;18961;1;11;1;12;11;0.9166666666666666; TERMINATED;0;1;0;03
592; direct;19066;19254;1;11;2;12;1;0.08333333333333333; COMPLETED;1;0;0;03
593; direct;19362;19513;1;11;3;12;6;0.5; TERMINATED;0;1;0;03
594; direct;19685;19880;1;11;4;12;9;0.75; TERMINATED;0;1;0;03
595; direct;20063;20336;1;12;0;12;9;0.75; TERMINATED;0;1;0;03
596; direct;20437;20622;1;12;1;12;6;0.5; TERMINATED;0;1;0;03
597; direct;20843;21030;1;12;2;12;1;0.08333333333333333; COMPLETED;1;0;0;03
598; direct;21180;21330;1;12;3;12;11;0.9166666666666666; TERMINATED;0;1;0;03
599; direct;21434;21752;1;12;4;12;3;0.25; COMPLETED;1;0;0;03
600; direct;22007;22349;1;13;0;21;16;0.7619047619047619; TERMINATED;0;1;0;03
601; direct;22551;22779;1;13;1;21;5;0.23809523809523808; COMPLETED;1;0;0;03
602; direct;22890;23858;1;13;2;21;20;0.9523809523809523; TERMINATED;0;1;0;03
603; direct;23931;24128;1;13;3;21;1;0.047619047619047616; COMPLETED;1;0;0;03
604; direct;24221;24565;1;13;4;21;11;0.5238095238095238; TERMINATED;0;1;0;03
605; direct;24784;25486;1;14;0;21;16;0.7619047619047619; TERMINATED;0;1;0;03
606; direct;25565;26017;1;14;1;21;5;0.23809523809523808; TERMINATED;0;1;0;03
607; direct;26067;26262;1;14;2;21;1;0.047619047619047616; COMPLETED;1;0;0;03
608; direct;26357;26729;1;14;3;21;11;0.5238095238095238; COMPLETED;1;0;0;03
