;;;;;Duration;Duration;Duration;Duration;Duration;Target;Target;Target;Target;Target;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Duration_Sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;
01;3;3; widening;9;5.463;4.406;3.762;5.447;6.039;8.0;7.0;5.0;2.0;1.0;0.8888888888888888;0.7777777777777778;0.5555555555555556;0.2222222222222222;0.1111111111111111;25.116999999999997
01;3;4; widening;21;6.145;8.843;8.514;10.311;7.91;5.0;11.0;20.0;1.0;16.0;0.23809523809523808;0.5238095238095238;0.9523809523809523;0.047619047619047616;0.7619047619047619;41.723
01;3;5; widening;12;4.764;6.182;8.897;5.731;6.906;3.0;9.0;1.0;11.0;6.0;0.25;0.75;0.08333333333333333;0.9166666666666666;0.5;32.480000000000004
01;3;6; widening;9;4.638;7.699;6.966;5.124;6.478;1.0;2.0;8.0;7.0;5.0;0.1111111111111111;0.2222222222222222;0.8888888888888888;0.7777777777777778;0.5555555555555556;30.905
01;3;7; widening;12;5.983;8.21;4.366;6.611;8.222;6.0;11.0;1.0;9.0;3.0;0.5;0.9166666666666666;0.08333333333333333;0.75;0.25;33.392
01;3;8; widening;21;6.559;11.649;7.525;5.74;7.309;5.0;1.0;20.0;11.0;16.0;0.23809523809523808;0.047619047619047616;0.9523809523809523;0.5238095238095238;0.7619047619047619;38.782
01;3;9; widening;12;6.111;9.225;5.351;6.023;5.973;3.0;9.0;1.0;11.0;6.0;0.25;0.75;0.08333333333333333;0.9166666666666666;0.5;32.683
01;3;10; widening;6;5.919;4.997;3.39;5.482;4.347;5.0;4.0;1.0;2.0;3.0;0.8333333333333334;0.6666666666666666;0.16666666666666666;0.3333333333333333;0.5;24.135
01;3;11; widening;15;4.154;8.275;5.072;5.669;7.805;8.0;14.0;1.0;4.0;11.0;0.5333333333333333;0.9333333333333333;0.06666666666666667;0.26666666666666666;0.7333333333333333;30.975
01;3;12; widening;15;7.281;8.192;19.87;7.316;15.782;8.0;4.0;14.0;11.0;1.0;0.5333333333333333;0.26666666666666666;0.9333333333333333;0.7333333333333333;0.06666666666666667;58.441
01;3;13; widening;18;6.979;9.734;7.205;8.776;6.431;5.0;14.0;1.0;17.0;9.0;0.2777777777777778;0.7777777777777778;0.05555555555555555;0.9444444444444444;0.5;39.125
01;3;14; widening;18;8.964;8.986;6.714;6.046;6.245;14.0;17.0;5.0;9.0;1.0;0.7777777777777778;0.9444444444444444;0.2777777777777778;0.5;0.05555555555555555;36.955
01;3;15; widening;6;3.602;4.602;3.05;7.054;5.917;1.0;2.0;4.0;5.0;3.0;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.8333333333333334;0.5;24.225
01;3;16; widening;18;20.821;9.259;8.999;13.116;9.905;1.0;14.0;5.0;17.0;9.0;0.05555555555555555;0.7777777777777778;0.2777777777777778;0.9444444444444444;0.5;62.1
01;3;17; widening;15;8.751;9.302;4.794;5.545;7.479;14.0;11.0;1.0;4.0;8.0;0.9333333333333333;0.7333333333333333;0.06666666666666667;0.26666666666666666;0.5333333333333333;35.870999999999995
01;3;18; widening;9;7.206;6.716;6.829;28.817;7.507;1.0;8.0;5.0;2.0;7.0;0.1111111111111111;0.8888888888888888;0.5555555555555556;0.2222222222222222;0.7777777777777778;57.074999999999996
02;1;1; direct;9;9.415;7.734;8.832;13.831;6.306;5.0;7.0;8.0;1.0;2.0;0.5555555555555556;0.7777777777777778;0.8888888888888888;0.1111111111111111;0.2222222222222222;46.117999999999995
02;1;2; direct;6;6.061;6.467;4.361;5.929;5.232;2.0;5.0;1.0;3.0;4.0;0.3333333333333333;0.8333333333333334;0.16666666666666666;0.5;0.6666666666666666;28.049999999999997
02;1;3; direct;9;6.324;12.049;6.687;7.999;7.366;5.0;1.0;8.0;7.0;2.0;0.5555555555555556;0.1111111111111111;0.8888888888888888;0.7777777777777778;0.2222222222222222;40.425
02;1;4; direct;15;9.431;8.701;6.011;7.499;8.043;11.0;1.0;4.0;8.0;14.0;0.7333333333333333;0.06666666666666667;0.26666666666666666;0.5333333333333333;0.9333333333333333;39.684999999999995
02;1;5; direct;6;5.802;6.409;5.268;7.917;4.74;3.0;4.0;5.0;1.0;2.0;0.5;0.6666666666666666;0.8333333333333334;0.16666666666666666;0.3333333333333333;30.136000000000003
02;1;6; direct;15;6.336;7.655;10.552;8.167;9.983;1.0;8.0;14.0;11.0;4.0;0.06666666666666667;0.5333333333333333;0.9333333333333333;0.7333333333333333;0.26666666666666666;42.693
02;1;7; direct;12;8.308;11.324;6.402;10.079;6.928;11.0;1.0;3.0;9.0;6.0;0.9166666666666666;0.08333333333333333;0.25;0.75;0.5;43.041
02;1;8; direct;15;5.555;10.351;7.372;6.249;9.962;1.0;11.0;8.0;4.0;14.0;0.06666666666666667;0.7333333333333333;0.5333333333333333;0.26666666666666666;0.9333333333333333;39.489
02;1;9; direct;21;12.117;8.875;10.198;10.456;7.086;20.0;1.0;5.0;16.0;11.0;0.9523809523809523;0.047619047619047616;0.23809523809523808;0.7619047619047619;0.5238095238095238;48.732
02;1;10; direct;21;10.341;9.659;9.392;11.155;10.81;11.0;1.0;16.0;20.0;5.0;0.5238095238095238;0.047619047619047616;0.7619047619047619;0.9523809523809523;0.23809523809523808;51.357
02;1;11; direct;9;8.557;5.903;7.228;10.516;7.679;8.0;1.0;2.0;5.0;7.0;0.8888888888888888;0.1111111111111111;0.2222222222222222;0.5555555555555556;0.7777777777777778;39.883
02;1;12; direct;18;9.025;6.896;14.327;8.035;7.758;9.0;1.0;17.0;14.0;5.0;0.5;0.05555555555555555;0.9444444444444444;0.7777777777777778;0.2777777777777778;46.041000000000004
02;1;13; direct;12;7.188;9.345;8.521;7.162;7.271;3.0;11.0;9.0;6.0;1.0;0.25;0.9166666666666666;0.75;0.5;0.08333333333333333;39.487
02;1;14; direct;12;13.856;6.138;19.547;31.57;9.385;6.0;3.0;11.0;1.0;9.0;0.5;0.25;0.9166666666666666;0.08333333333333333;0.75;80.496
02;1;15; direct;21;9.059;9.468;10.763;11.038;14.228;5.0;1.0;20.0;16.0;11.0;0.23809523809523808;0.047619047619047616;0.9523809523809523;0.7619047619047619;0.5238095238095238;54.556000000000004
02;1;16; direct;18;34.328;9.237;5.078;11.01;19.973;1.0;9.0;5.0;17.0;14.0;0.05555555555555555;0.5;0.2777777777777778;0.9444444444444444;0.7777777777777778;79.626
02;1;17; direct;18;7.955;8.146;8.473;8.317;10.491;17.0;5.0;1.0;9.0;14.0;0.9444444444444444;0.2777777777777778;0.05555555555555555;0.5;0.7777777777777778;43.382
02;1;18; direct;6;6.798;4.492;6.004;5.915;5.706;3.0;2.0;1.0;5.0;4.0;0.5;0.3333333333333333;0.16666666666666666;0.8333333333333334;0.6666666666666666;28.914999999999996
02;2;1; widening;6;11.318;4.659;3.352;4.937;6.059;3.0;2.0;4.0;5.0;1.0;0.5;0.3333333333333333;0.6666666666666666;0.8333333333333334;0.16666666666666666;30.325000000000003
02;2;2; widening;21;8.546;10.464;9.72;12.073;8.795;11.0;1.0;5.0;20.0;16.0;0.5238095238095238;0.047619047619047616;0.23809523809523808;0.9523809523809523;0.7619047619047619;49.598
02;2;3; widening;15;9.36;4.975;8.288;8.169;9.96;14.0;11.0;1.0;4.0;8.0;0.9333333333333333;0.7333333333333333;0.06666666666666667;0.26666666666666666;0.5333333333333333;40.751999999999995
02;2;4; widening;12;7.541;6.649;7.706;8.93;9.472;11.0;6.0;1.0;9.0;3.0;0.9166666666666666;0.5;0.08333333333333333;0.75;0.25;40.298
02;2;5; widening;12;7.794;7.807;50.466;7.507;8.123;9.0;3.0;11.0;6.0;1.0;0.75;0.25;0.9166666666666666;0.5;0.08333333333333333;81.69700000000002
02;2;6; widening;6;5.871;4.734;6.422;6.095;12.408;3.0;2.0;1.0;4.0;5.0;0.5;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.8333333333333334;35.53
02;2;7; widening;18;9.381;13.269;7.421;12.74;7.666;1.0;17.0;14.0;9.0;5.0;0.05555555555555555;0.9444444444444444;0.7777777777777778;0.5;0.2777777777777778;50.477000000000004
02;2;8; widening;18;7.864;7.999;9.051;7.814;6.849;9.0;5.0;17.0;14.0;1.0;0.5;0.2777777777777778;0.9444444444444444;0.7777777777777778;0.05555555555555555;39.577
02;2;9; widening;21;27.141;7.221;8.696;10.137;7.927;16.0;5.0;1.0;11.0;20.0;0.7619047619047619;0.23809523809523808;0.047619047619047616;0.5238095238095238;0.9523809523809523;61.12199999999999
02;2;10; widening;9;6.393;4.28;5.475;10.029;4.977;7.0;8.0;5.0;1.0;2.0;0.7777777777777778;0.8888888888888888;0.5555555555555556;0.1111111111111111;0.2222222222222222;31.154
02;2;11; widening;9;6.986;6.499;7.24;5.245;12.486;7.0;2.0;5.0;8.0;1.0;0.7777777777777778;0.2222222222222222;0.5555555555555556;0.8888888888888888;0.1111111111111111;38.456
02;2;12; widening;12;8.27;7.831;11.542;8.215;6.333;6.0;9.0;1.0;11.0;3.0;0.5;0.75;0.08333333333333333;0.9166666666666666;0.25;42.191
02;2;13; widening;9;6.086;6.67;6.781;12.38;7.535;1.0;5.0;2.0;7.0;8.0;0.1111111111111111;0.5555555555555556;0.2222222222222222;0.7777777777777778;0.8888888888888888;39.452
02;2;14; widening;21;9.389;9.803;12.684;7.037;20.144;1.0;20.0;11.0;16.0;5.0;0.047619047619047616;0.9523809523809523;0.5238095238095238;0.7619047619047619;0.23809523809523808;59.056999999999995
02;2;15; widening;18;7.219;13.936;7.995;13.828;49.389;5.0;17.0;9.0;1.0;14.0;0.2777777777777778;0.9444444444444444;0.5;0.05555555555555555;0.7777777777777778;92.367
02;2;16; widening;15;6.654;9.086;5.309;6.215;29.889;14.0;8.0;1.0;11.0;4.0;0.9333333333333333;0.5333333333333333;0.06666666666666667;0.7333333333333333;0.26666666666666666;57.153
02;2;17; widening;15;8.801;11.884;5.765;8.692;7.432;4.0;1.0;8.0;11.0;14.0;0.26666666666666666;0.06666666666666667;0.5333333333333333;0.7333333333333333;0.9333333333333333;42.574000000000005
02;2;18; widening;6;4.769;8.972;5.063;5.737;7.628;4.0;1.0;5.0;2.0;3.0;0.6666666666666666;0.16666666666666666;0.8333333333333334;0.3333333333333333;0.5;32.169
02;3;1; densening;9;12.11;9.987;6.047;9.92;7.689;8.0;7.0;1.0;5.0;2.0;0.8888888888888888;0.7777777777777778;0.1111111111111111;0.5555555555555556;0.2222222222222222;45.753
02;3;2; densening;15;9.337;5.908;7.231;9.705;13.444;14.0;1.0;4.0;8.0;11.0;0.9333333333333333;0.06666666666666667;0.26666666666666666;0.5333333333333333;0.7333333333333333;45.625
02;3;3; densening;12;12.799;6.458;10.015;9.299;7.131;6.0;1.0;9.0;11.0;3.0;0.5;0.08333333333333333;0.75;0.9166666666666666;0.25;45.702
02;3;4; densening;6;5.871;7.288;6.778;6.646;3.73;4.0;5.0;3.0;2.0;1.0;0.6666666666666666;0.8333333333333334;0.5;0.3333333333333333;0.16666666666666666;30.313000000000002
