Proband;Block;Task;MappingMethod;NumLayers;0;1;2;3;4;Duration_Sum
17;3;17; densening;15;22.331;5.088;8.574;7.345;5.839;49.177
17;3;18; densening;12;14.398;7.457;9.504;25.104;7.122;63.585
18;1;1; densening;6;9.768;8.35;5.533;11.419;4.82;39.89000000000001
18;1;2; densening;9;16.054;7.7;13.622;6.893;9.487;53.756
18;1;3; densening;18;24.723;7.385;13.512;9.675;9.903;65.19800000000001
18;1;4; densening;12;20.064;8.759;4.731;13.918;9.35;56.822
18;1;5; densening;15;11.137;13.446;9.031;5.295;12.097;51.006
18;1;6; densening;6;13.808;5.936;4.386;4.067;4.341;32.538
18;1;7; densening;21;8.958;16.765;10.502;9.828;13.427;59.48
18;1;8; densening;18;8.895;10.624;12.808;13.55;19.821;65.698
18;1;9; densening;15;15.271;12.968;6.411;11.772;7.507;53.928999999999995
18;1;10; densening;9;16.098;5.094;9.42;5.004;7.483;43.099
18;1;11; densening;6;17.85;6.934;5.898;6.355;7.175;44.212
18;1;12; densening;12;12.276;10.604;7.111;8.583;12.068;50.641999999999996
18;1;13; densening;18;17.504;10.575;7.513;12.033;12.339;59.964
18;1;14; densening;9;13.985;7.262;11.357;7.011;5.297;44.912
18;1;15; densening;12;13.453;10.22;5.18;12.271;7.685;48.809000000000005
18;1;16; densening;21;7.084;15.257;9.007;11.416;7.884;50.647999999999996
18;1;17; densening;21;17.16;11.912;11.236;8.661;3.943;52.912000000000006
18;1;18; densening;15;9.652;8.696;8.931;11.937;18.933;58.148999999999994
18;2;1; direct;9;10.889;6.022;8.652;6.926;5.881;38.370000000000005
18;2;2; direct;9;259.882;6.071;7.075;8.946;8.266;290.24000000000007
18;2;3; direct;18;14.403;7.672;6.265;10.997;6.98;46.31700000000001
18;2;4; direct;18;18.182;4.748;7.398;6.12;11.737;48.185
18;2;5; direct;6;7.106;5.583;5.632;6.734;7.004;32.059
18;2;6; direct;21;15.998;6.414;12.271;9.953;6.444;51.08
18;2;7; direct;6;10.946;8.322;6.237;4.655;5.925;36.085
18;2;8; direct;12;12.398;5.533;4.684;8.482;7.034;38.131
18;2;9; direct;6;9.881;3.938;7.217;7.258;5.615;33.909
18;2;10; direct;21;11.526;10.422;19.346;11.945;7.695;60.934
18;2;11; direct;15;18.164;7.995;12.905;27.243;15.303;81.61
18;2;12; direct;9;24.424;15.755;4.384;7.003;6.627;58.193000000000005
18;2;13; direct;15;23.858;8.592;7.63;40.165;13.14;93.385
18;2;14; direct;12;14.945;8.133;9.722;8.528;5.88;47.208
18;2;15; direct;12;10.291;14.768;9.661;11.833;7.294;53.846999999999994
18;2;16; direct;21;12.763;9.609;10.299;6.001;15.627;54.299
18;2;17; direct;18;14.127;8.669;13.276;5.638;9.919;51.629000000000005
18;2;18; direct;15;8.129;23.065;12.989;9.48;9.182;62.84500000000001
18;3;1; widening;9;140.018;7.161;5.036;9.183;6.285;167.683
18;3;2; widening;12;11.458;8.167;7.269;8.667;13.47;49.031
18;3;3; widening;18;21.439;8.37;16.614;16.269;9.568;72.26
18;3;4; widening;15;17.28;14.187;6.831;8.141;7.014;53.453
18;3;5; widening;6;9.008;6.861;4.551;6.53;5.221;32.17100000000001
18;3;6; widening;9;6.99;8.55;8.404;5.374;7.322;36.64
18;3;7; widening;21;10.273;17.344;11.453;8.028;10.109;57.207
18;3;8; widening;6;16.967;18.537;7.386;5.722;6.099;54.711
18;3;9; widening;6;17.182;6.182;4.699;5.826;6.288;40.17699999999999
18;3;10; widening;12;10.613;9.106;7.555;7.915;6.933;42.122
18;3;11; widening;12;7.186;11.916;6.618;5.601;6.815;38.135999999999996
18;3;12; widening;15;15.232;7.579;7.609;6.837;8.659;45.916000000000004
18;3;13; widening;18;10.216;6.656;7.472;9.564;9.26;43.168
18;3;14; widening;15;7.528;13.02;10.286;5.638;6.966;43.437999999999995
18;3;15; widening;21;11.432;8.457;9.232;6.077;40.808;76.006
18;3;16; widening;21;10.425;6.252;7.57;8.19;8.374;40.811
18;3;17; widening;18;13.543;13.962;8.483;10.631;10.368;56.987
18;3;18; widening;9;9.757;5.184;8.424;5.04;5.852;34.257
19;1;1; widening;6;11.971;7.338;6.631;4.975;2.388;33.303
19;1;2; widening;6;10.856;6.221;8.541;5.047;4.235;34.9
19;1;3; widening;18;11.208;6.19;8.653;10.327;9.505;45.883
19;1;4; widening;9;11.39;7.188;6.755;5.807;6.231;37.371
19;1;5; widening;21;11.346;5.626;6.42;17.107;7.214;47.713
19;1;6; widening;9;9.022;6.524;9.455;7.551;5.8;38.352
19;1;7; widening;18;11.502;6.354;7.963;8.436;11.743;45.998000000000005
19;1;8; widening;15;10.174;5.929;7.404;6.972;7.0;37.479
19;1;9; widening;21;11.063;9.945;7.986;39.537;6.146;74.677
19;1;10; widening;12;11.435;6.932;9.034;5.745;6.548;39.694
19;1;11; widening;21;10.156;8.367;9.429;12.988;14.712;55.652
19;1;12; widening;12;9.732;7.93;9.136;7.177;5.907;39.88199999999999
19;1;13; widening;6;8.411;5.319;8.854;5.061;5.739;33.384
19;1;14; widening;18;11.215;6.909;18.252;9.209;48.935;94.52
19;1;15; widening;12;9.929;7.177;7.81;13.66;5.79;44.366
19;1;16; widening;9;10.679;8.13;5.713;7.582;6.147;38.251
19;1;17; widening;15;21.189;6.693;9.724;7.82;6.056;51.48199999999999
19;1;18; widening;15;13.178;6.446;5.287;8.646;6.774;40.331
19;2;1; direct;9;150.94;8.926;5.119;6.434;5.696;177.11499999999998
19;2;2; direct;12;12.308;7.629;4.681;6.938;8.917;40.473
19;2;3; direct;6;8.195;6.371;4.75;5.153;7.163;31.632
19;2;4; direct;6;10.126;5.885;6.148;6.606;5.219;33.984
19;2;5; direct;9;10.234;7.567;5.836;8.005;5.334;36.976
19;2;6; direct;21;10.319;8.32;9.666;16.401;7.78;52.486000000000004
19;2;7; direct;15;13.33;5.646;8.311;7.538;7.095;41.92
19;2;8; direct;18;12.969;8.11;9.049;6.635;11.493;48.256
19;2;9; direct;15;12.229;7.659;8.058;11.433;9.181;48.559999999999995
19;2;10; direct;12;12.364;7.493;7.815;11.031;5.885;44.588
19;2;11; direct;9;8.25;6.021;5.493;7.996;7.099;34.85900000000001
19;2;12; direct;21;11.157;7.735;7.181;17.441;6.791;50.30499999999999
19;2;13; direct;12;9.442;7.154;6.38;7.224;5.893;36.092999999999996
19;2;14; direct;21;11.241;6.772;11.874;5.154;6.936;41.977
19;2;15; direct;6;8.08;5.598;4.322;5.337;6.593;29.93
19;2;16; direct;15;9.65;6.779;7.002;6.517;4.745;34.693
19;2;17; direct;18;16.83;6.865;5.336;7.263;14.851;51.144999999999996
19;2;18; direct;18;11.365;7.792;7.681;6.9;6.938;40.676
19;3;1; densening;21;103.779;9.478;5.161;8.159;7.026;133.603
19;3;2; densening;9;8.88;4.993;8.712;7.472;6.506;36.563
19;3;3; densening;18;32.579;7.682;7.783;10.346;7.004;65.394
19;3;4; densening;6;7.553;5.611;5.617;7.153;6.417;32.351
19;3;5; densening;15;10.058;5.999;5.199;12.363;7.23;40.849000000000004
19;3;6; densening;6;6.427;6.108;6.613;5.43;4.106;28.683999999999997
19;3;7; densening;6;8.201;6.375;5.165;4.83;4.544;29.115
19;3;8; densening;18;13.598;14.696;9.775;5.535;9.536;53.14
19;3;9; densening;15;11.008;11.429;10.39;8.203;7.291;48.321
19;3;10; densening;21;12.098;9.355;5.796;5.55;7.653;40.452
19;3;11; densening;21;11.178;6.093;11.019;7.414;14.104;49.808
19;3;12; densening;12;10.473;5.638;8.7;7.24;7.374;39.425000000000004
19;3;13; densening;9;6.652;9.599;5.272;8.292;5.416;35.23100000000001
19;3;14; densening;9;8.415;6.315;6.341;6.985;7.703;35.759
19;3;15; densening;18;16.795;5.522;8.228;9.172;14.851;54.568
19;3;16; densening;12;11.038;8.64;4.36;7.161;5.593;36.792
19;3;17; densening;12;9.243;3.47;8.326;5.025;6.866;32.93
19;3;18; densening;15;10.836;5.297;6.285;7.77;10.12;40.308
20;1;1; densening;12;11.35;14.84;9.795;5.72;5.517;47.222
20;1;2; densening;18;19.187;6.628;6.606;9.57;5.621;47.612
20;1;3; densening;9;9.117;8.419;7.17;5.442;7.527;37.675000000000004
20;1;4; densening;6;15.767;6.43;5.011;4.568;7.552;39.327999999999996
