;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Result;Result_Numeric
157;0;2;14;2; densening;18;1;0.05555555555555555; COMPLETED;1
158;0;2;14;3; densening;18;5;0.2777777777777778; TERMINATED;0
159;0;2;14;4; densening;18;14;0.7777777777777778; COMPLETED;1
160;0;2;15;0; densening;12;9;0.75; COMPLETED;1
161;0;2;15;1; densening;12;6;0.5; COMPLETED;1
162;0;2;15;2; densening;12;3;0.25; TERMINATED;0
163;0;2;15;3; densening;12;1;0.08333333333333333; COMPLETED;1
164;0;2;15;4; densening;12;11;0.9166666666666666; TERMINATED;0
165;0;2;16;0; densening;6;4;0.6666666666666666; COMPLETED;1
166;0;2;16;1; densening;6;5;0.8333333333333334; COMPLETED;1
167;0;2;16;2; densening;6;3;0.5; TERMINATED;0
168;0;2;16;3; densening;6;2;0.3333333333333333; COMPLETED;1
169;0;2;16;4; densening;6;1;0.16666666666666666; TERMINATED;0
170;0;2;17;0; densening;18;5;0.2777777777777778; TERMINATED;0
171;0;2;17;1; densening;18;1;0.05555555555555555; COMPLETED;1
172;0;2;17;2; densening;18;17;0.9444444444444444; TERMINATED;0
173;0;2;17;3; densening;18;14;0.7777777777777778; TERMINATED;0
174;0;2;17;4; densening;18;9;0.5; COMPLETED;1
175;0;2;18;0; densening;9;1;0.1111111111111111; COMPLETED;1
176;0;2;18;1; densening;9;2;0.2222222222222222; COMPLETED;1
177;0;2;18;2; densening;9;7;0.7777777777777778; COMPLETED;1
178;0;2;18;3; densening;9;5;0.5555555555555556; TERMINATED;0
179;0;2;18;4; densening;9;8;0.8888888888888888; TERMINATED;0
180;0;3;1;0; widening;6;4;0.6666666666666666; COMPLETED;1
181;0;3;1;1; widening;6;2;0.3333333333333333; TERMINATED;0
182;0;3;1;2; widening;6;5;0.8333333333333334; TERMINATED;0
183;0;3;1;3; widening;6;1;0.16666666666666666; TERMINATED;0
184;0;3;1;4; widening;6;3;0.5; TERMINATED;0
