;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
225;0;3;10;0; widening;12;9;0.75;13.598
226;0;3;10;1; widening;12;11;0.9166666666666666;10.933
227;0;3;10;2; widening;12;1;0.08333333333333333;5.17
228;0;3;10;3; widening;12;3;0.25;15.577
229;0;3;10;4; widening;12;6;0.5;4.833
230;0;3;11;0; widening;18;1;0.05555555555555555;30.94
231;0;3;11;1; widening;18;17;0.9444444444444444;4.526
232;0;3;11;2; widening;18;14;0.7777777777777778;9.312
233;0;3;11;3; widening;18;9;0.5;7.03
234;0;3;11;4; widening;18;5;0.2777777777777778;6.791
235;0;3;12;0; widening;9;8;0.8888888888888888;10.11
236;0;3;12;1; widening;9;2;0.2222222222222222;3.326
237;0;3;12;2; widening;9;7;0.7777777777777778;6.366
238;0;3;12;3; widening;9;1;0.1111111111111111;5.355
239;0;3;12;4; widening;9;5;0.5555555555555556;5.965
240;0;3;13;0; widening;12;3;0.25;10.717
241;0;3;13;1; widening;12;9;0.75;18.888
242;0;3;13;2; widening;12;11;0.9166666666666666;6.952
243;0;3;13;3; widening;12;1;0.08333333333333333;5.592
244;0;3;13;4; widening;12;6;0.5;4.791
245;0;3;14;0; widening;15;8;0.5333333333333333;8.723
246;0;3;14;1; widening;15;4;0.26666666666666666;7.758
247;0;3;14;2; widening;15;1;0.06666666666666667;5.64
248;0;3;14;3; widening;15;11;0.7333333333333333;8.473
249;0;3;14;4; widening;15;14;0.9333333333333333;6.738
250;0;3;15;0; widening;21;16;0.7619047619047619;16.795
251;0;3;15;1; widening;21;1;0.047619047619047616;7.663
252;0;3;15;2; widening;21;5;0.23809523809523808;6.375
253;0;3;15;3; widening;21;20;0.9523809523809523;7.97
254;0;3;15;4; widening;21;11;0.5238095238095238;9.358
255;0;3;16;0; widening;6;5;0.8333333333333334;7.891
256;0;3;16;1; widening;6;1;0.16666666666666666;10.343
257;0;3;16;2; widening;6;4;0.6666666666666666;3.576
258;0;3;16;3; widening;6;3;0.5;5.485
259;0;3;16;4; widening;6;2;0.3333333333333333;1.689
260;0;3;17;0; widening;6;1;0.16666666666666666;9.541
261;0;3;17;1; widening;6;5;0.8333333333333334;5.091
262;0;3;17;2; widening;6;3;0.5;26.38
263;0;3;17;3; widening;6;4;0.6666666666666666;1.451
264;0;3;17;4; widening;6;2;0.3333333333333333;5.408
265;0;3;18;0; widening;21;1;0.047619047619047616;7.998
266;0;3;18;1; widening;21;11;0.5238095238095238;4.881
267;0;3;18;2; widening;21;20;0.9523809523809523;9.559
268;0;3;18;3; widening;21;5;0.23809523809523808;3.176
269;0;3;18;4; widening;21;16;0.7619047619047619;7.115
270;1;1;1;0; widening;21;16;0.7619047619047619;18.174
271;1;1;1;1; widening;21;11;0.5238095238095238;9.083
272;1;1;1;2; widening;21;20;0.9523809523809523;10.901
273;1;1;1;3; widening;21;5;0.23809523809523808;9.551
274;1;1;1;4; widening;21;1;0.047619047619047616;12.522
275;1;1;2;0; widening;18;17;0.9444444444444444;26.685
276;1;1;2;1; widening;18;1;0.05555555555555555;9.582
