;Proband;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
45;8;15;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
46;8;18;25;0.5555555555555556;0;0.0;20;0.4444444444444444;45;1.0
47;8;21;29;0.6444444444444445;0;0.0;16;0.35555555555555557;45;1.0
48;9;6;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
49;9;9;35;0.7777777777777778;0;0.0;10;0.2222222222222222;45;1.0
50;9;12;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
51;9;15;37;0.8222222222222222;1;0.022222222222222223;7;0.15555555555555556;45;1.0
52;9;18;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
53;9;21;33;0.7333333333333333;0;0.0;12;0.26666666666666666;45;1.0
54;10;6;13;0.28888888888888886;6;0.13333333333333333;26;0.5777777777777777;45;0.9999999999999999
55;10;9;16;0.35555555555555557;5;0.1111111111111111;24;0.5333333333333333;45;1.0
56;10;12;10;0.2222222222222222;6;0.13333333333333333;29;0.6444444444444445;45;1.0
57;10;15;16;0.35555555555555557;3;0.06666666666666667;26;0.5777777777777777;45;1.0
58;10;18;18;0.4;6;0.13333333333333333;21;0.4666666666666667;45;1.0
59;10;21;17;0.37777777777777777;5;0.1111111111111111;23;0.5111111111111111;45;1.0
60;11;6;13;0.28888888888888886;0;0.0;32;0.7111111111111111;45;1.0
61;11;9;18;0.4;0;0.0;27;0.6;45;1.0
62;11;12;22;0.4888888888888889;0;0.0;23;0.5111111111111111;45;1.0
63;11;15;24;0.5333333333333333;0;0.0;21;0.4666666666666667;45;1.0
64;11;18;31;0.6888888888888889;0;0.0;14;0.3111111111111111;45;1.0
65;11;21;20;0.4444444444444444;1;0.022222222222222223;24;0.5333333333333333;45;1.0
66;12;6;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
67;12;9;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
68;12;12;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
69;12;15;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
70;12;18;39;0.8666666666666667;0;0.0;6;0.13333333333333333;45;1.0
71;12;21;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
72;13;6;32;0.7111111111111111;0;0.0;13;0.28888888888888886;45;1.0
73;13;9;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
74;13;12;33;0.7333333333333333;0;0.0;12;0.26666666666666666;45;1.0
75;13;15;32;0.7111111111111111;1;0.022222222222222223;12;0.26666666666666666;45;1.0
76;13;18;29;0.6444444444444445;0;0.0;16;0.35555555555555557;45;1.0
77;13;21;33;0.7333333333333333;2;0.044444444444444446;10;0.2222222222222222;45;0.9999999999999999
78;14;6;39;0.8666666666666667;0;0.0;6;0.13333333333333333;45;1.0
79;14;9;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
80;14;12;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
81;14;15;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
82;14;18;35;0.7777777777777778;0;0.0;10;0.2222222222222222;45;1.0
83;14;21;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
84;15;6;28;0.6222222222222222;0;0.0;17;0.37777777777777777;45;1.0
85;15;9;39;0.8666666666666667;1;0.022222222222222223;5;0.1111111111111111;45;1.0
86;15;12;39;0.8666666666666667;0;0.0;6;0.13333333333333333;45;1.0
87;15;15;39;0.8666666666666667;3;0.06666666666666667;3;0.06666666666666667;45;1.0
88;15;18;41;0.9111111111111111;1;0.022222222222222223;3;0.06666666666666667;45;1.0
