;;;;;Result;Result;Result;Result;Result;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric;Result_Numeric
Trial;;;;;0;1;2;3;4;0;1;2;3;4
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;
02;2;14; widening;21; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;1
02;2;15; widening;18; COMPLETED; COMPLETED; COMPLETED; FAILED; COMPLETED;1;1;1;0;1
02;2;16; widening;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
02;2;17; widening;15; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;1;0;1;0;0
02;2;18; widening;6; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;1;1;0;1;1
02;3;1; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;2; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
02;3;3; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;4; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
02;3;5; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;6; densening;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;7; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;8; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;9; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
02;3;10; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;11; densening;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;12; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;13; densening;18; COMPLETED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;1;1;0;1;0
02;3;14; densening;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; TERMINATED;1;1;1;1;0
02;3;15; densening;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;16; densening;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;17; densening;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;1;1;1;1
02;3;18; densening;15; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;1;0;1;1;1
03;1;1; direct;6; TERMINATED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;0;0;1;0;1
03;1;2; direct;15; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
03;1;3; direct;15; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;1;1;0;0;1
03;1;4; direct;6; TERMINATED; FAILED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
03;1;5; direct;9; TERMINATED; TERMINATED; TERMINATED; COMPLETED; TERMINATED;0;0;0;1;0
03;1;6; direct;15; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
03;1;7; direct;6; COMPLETED; COMPLETED; TERMINATED; TERMINATED; TERMINATED;1;1;0;0;0
03;1;8; direct;21; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
03;1;9; direct;9; TERMINATED; COMPLETED; COMPLETED; TERMINATED; TERMINATED;0;1;1;0;0
03;1;10; direct;18; FAILED; TERMINATED; TERMINATED; TERMINATED; COMPLETED;0;0;0;0;1
03;1;11; direct;12; TERMINATED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;0;0;1;0;0
03;1;12; direct;12; TERMINATED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;0;0;1;0;1
03;1;13; direct;21; TERMINATED; COMPLETED; TERMINATED; COMPLETED; TERMINATED;0;1;0;1;0
03;1;14; direct;21; TERMINATED; TERMINATED; COMPLETED; COMPLETED; TERMINATED;0;0;1;1;0
