;Proband;MappingMethod;NumLayers;Completed_Sum;Completed_Avg;Completed_Num;Failed_Sum;Failed_Avg;Failed_Num;Terminated_Sum;Terminated_Avg;Terminated_Num;All_Sum;All_Avg;All_Num
89;5; widening;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
90;6; densening;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
91;6; densening;9;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
92;6; densening;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
93;6; densening;15;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
94;6; densening;18;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
95;6; densening;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
96;6; direct;6;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
97;6; direct;9;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
98;6; direct;12;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
99;6; direct;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
100;6; direct;18;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
101;6; direct;21;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
102;6; widening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
103;6; widening;9;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
104;6; widening;12;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
105;6; widening;15;11.0;1.0;11.0;2.0;1.0;2.0;2.0;1.0;2.0;15.0;1.0;15.0
106;6; widening;18;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
107;6; widening;21;8.0;1.0;8.0;2.0;1.0;2.0;5.0;1.0;5.0;15.0;1.0;15.0
108;7; densening;6;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
109;7; densening;9;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
110;7; densening;12;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
111;7; densening;15;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
112;7; densening;18;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
113;7; densening;21;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
114;7; direct;6;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
115;7; direct;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
116;7; direct;12;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
117;7; direct;15;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
118;7; direct;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
119;7; direct;21;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
120;7; widening;6;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
121;7; widening;9;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
122;7; widening;12;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
123;7; widening;15;10.0;1.0;10.0;1.0;1.0;1.0;4.0;1.0;4.0;15.0;1.0;15.0
124;7; widening;18;12.0;1.0;12.0;1.0;1.0;1.0;2.0;1.0;2.0;15.0;1.0;15.0
125;7; widening;21;9.0;1.0;9.0;3.0;1.0;3.0;3.0;1.0;3.0;15.0;1.0;15.0
126;8; densening;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
127;8; densening;9;11.0;1.0;11.0;1.0;1.0;1.0;3.0;1.0;3.0;15.0;1.0;15.0
128;8; densening;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
129;8; densening;15;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
130;8; densening;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
131;8; densening;21;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
132;8; direct;6;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
133;8; direct;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
134;8; direct;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
135;8; direct;15;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
136;8; direct;18;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
137;8; direct;21;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
138;8; widening;6;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
139;8; widening;9;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
140;8; widening;12;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
141;8; widening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
142;8; widening;18;4.0;1.0;4.0;0.0;0.0;0.0;11.0;1.0;11.0;15.0;1.0;15.0
143;8; widening;21;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
144;9; densening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
145;9; densening;9;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
146;9; densening;12;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
147;9; densening;15;13.0;1.0;13.0;1.0;1.0;1.0;1.0;1.0;1.0;15.0;1.0;15.0
148;9; densening;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
149;9; densening;21;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
150;9; direct;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
151;9; direct;9;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
152;9; direct;12;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
153;9; direct;15;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
154;9; direct;18;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
155;9; direct;21;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
156;9; widening;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
157;9; widening;9;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
158;9; widening;12;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
159;9; widening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
160;9; widening;18;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
161;9; widening;21;7.0;1.0;7.0;0.0;0.0;0.0;8.0;1.0;8.0;15.0;1.0;15.0
162;10; densening;6;5.0;1.0;5.0;1.0;1.0;1.0;9.0;1.0;9.0;15.0;1.0;15.0
163;10; densening;9;5.0;1.0;5.0;4.0;1.0;4.0;6.0;1.0;6.0;15.0;1.0;15.0
164;10; densening;12;3.0;1.0;3.0;1.0;1.0;1.0;11.0;1.0;11.0;15.0;1.0;15.0
165;10; densening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
166;10; densening;18;7.0;1.0;7.0;1.0;1.0;1.0;7.0;1.0;7.0;15.0;1.0;15.0
167;10; densening;21;7.0;1.0;7.0;4.0;1.0;4.0;4.0;1.0;4.0;15.0;1.0;15.0
168;10; direct;6;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
169;10; direct;9;7.0;1.0;7.0;1.0;1.0;1.0;7.0;1.0;7.0;15.0;1.0;15.0
170;10; direct;12;3.0;1.0;3.0;1.0;1.0;1.0;11.0;1.0;11.0;15.0;1.0;15.0
171;10; direct;15;2.0;1.0;2.0;1.0;1.0;1.0;12.0;1.0;12.0;15.0;1.0;15.0
172;10; direct;18;6.0;1.0;6.0;3.0;1.0;3.0;6.0;1.0;6.0;15.0;1.0;15.0
173;10; direct;21;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
174;10; widening;6;3.0;1.0;3.0;5.0;1.0;5.0;7.0;1.0;7.0;15.0;1.0;15.0
175;10; widening;9;4.0;1.0;4.0;0.0;0.0;0.0;11.0;1.0;11.0;15.0;1.0;15.0
176;10; widening;12;4.0;1.0;4.0;4.0;1.0;4.0;7.0;1.0;7.0;15.0;1.0;15.0
177;10; widening;15;4.0;1.0;4.0;2.0;1.0;2.0;9.0;1.0;9.0;15.0;1.0;15.0
178;10; widening;18;5.0;1.0;5.0;2.0;1.0;2.0;8.0;1.0;8.0;15.0;1.0;15.0
179;10; widening;21;5.0;1.0;5.0;1.0;1.0;1.0;9.0;1.0;9.0;15.0;1.0;15.0
180;11; densening;6;3.0;1.0;3.0;0.0;0.0;0.0;12.0;1.0;12.0;15.0;1.0;15.0
181;11; densening;9;4.0;1.0;4.0;0.0;0.0;0.0;11.0;1.0;11.0;15.0;1.0;15.0
182;11; densening;12;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
183;11; densening;15;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
184;11; densening;18;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
185;11; densening;21;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
186;11; direct;6;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
187;11; direct;9;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
188;11; direct;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
189;11; direct;15;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
190;11; direct;18;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
191;11; direct;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
192;11; widening;6;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
193;11; widening;9;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
194;11; widening;12;6.0;1.0;6.0;0.0;0.0;0.0;9.0;1.0;9.0;15.0;1.0;15.0
195;11; widening;15;5.0;1.0;5.0;0.0;0.0;0.0;10.0;1.0;10.0;15.0;1.0;15.0
196;11; widening;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
197;11; widening;21;6.0;1.0;6.0;1.0;1.0;1.0;8.0;1.0;8.0;15.0;1.0;15.0
198;12; densening;6;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
199;12; densening;9;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
200;12; densening;12;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
201;12; densening;15;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
202;12; densening;18;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
203;12; densening;21;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
204;12; direct;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
205;12; direct;9;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
206;12; direct;12;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
207;12; direct;15;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
208;12; direct;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
209;12; direct;21;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
210;12; widening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
211;12; widening;9;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
212;12; widening;12;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
213;12; widening;15;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
214;12; widening;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
215;12; widening;21;9.0;1.0;9.0;0.0;0.0;0.0;6.0;1.0;6.0;15.0;1.0;15.0
216;13; densening;6;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
217;13; densening;9;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
218;13; densening;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
219;13; densening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
220;13; densening;18;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
221;13; densening;21;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
222;13; direct;6;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
223;13; direct;9;15.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;15.0
224;13; direct;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
225;13; direct;15;12.0;1.0;12.0;1.0;1.0;1.0;2.0;1.0;2.0;15.0;1.0;15.0
226;13; direct;18;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
227;13; direct;21;8.0;1.0;8.0;1.0;1.0;1.0;6.0;1.0;6.0;15.0;1.0;15.0
228;13; widening;6;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
229;13; widening;9;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
230;13; widening;12;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
231;13; widening;15;10.0;1.0;10.0;0.0;0.0;0.0;5.0;1.0;5.0;15.0;1.0;15.0
232;13; widening;18;8.0;1.0;8.0;0.0;0.0;0.0;7.0;1.0;7.0;15.0;1.0;15.0
233;13; widening;21;11.0;1.0;11.0;1.0;1.0;1.0;3.0;1.0;3.0;15.0;1.0;15.0
234;14; densening;6;14.0;1.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;1.0;15.0
235;14; densening;9;11.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;4.0;15.0;1.0;15.0
236;14; densening;12;13.0;1.0;13.0;0.0;0.0;0.0;2.0;1.0;2.0;15.0;1.0;15.0
237;14; densening;15;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
238;14; densening;18;12.0;1.0;12.0;0.0;0.0;0.0;3.0;1.0;3.0;15.0;1.0;15.0
