;Proband;MappingMethod;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
140;15; widening;18;4;0.26666666666666666;1;0.06666666666666667;10;0.6666666666666666;15;1.0
141;15; widening;21;2;0.13333333333333333;1;0.06666666666666667;12;0.8;15;1.0
142;15; widening;6;8;0.5333333333333333;1;0.06666666666666667;6;0.4;15;1.0
143;15; widening;9;5;0.3333333333333333;0;0.0;10;0.6666666666666666;15;1.0
144;16; densening;12;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
145;16; densening;15;12;0.8;0;0.0;3;0.2;15;1.0
146;16; densening;18;13;0.8666666666666667;1;0.06666666666666667;1;0.06666666666666667;15;1.0
147;16; densening;21;9;0.6;1;0.06666666666666667;5;0.3333333333333333;15;1.0
148;16; densening;6;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
149;16; densening;9;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
150;16; direct;12;11;0.7333333333333333;1;0.06666666666666667;3;0.2;15;1.0
151;16; direct;15;13;0.8666666666666667;2;0.13333333333333333;0;0.0;15;1.0
152;16; direct;18;10;0.6666666666666666;0;0.0;5;0.3333333333333333;15;1.0
153;16; direct;21;10;0.6666666666666666;2;0.13333333333333333;3;0.2;15;1.0
154;16; direct;6;13;0.8666666666666667;0;0.0;2;0.13333333333333333;15;1.0
155;16; direct;9;14;0.9333333333333333;0;0.0;1;0.06666666666666667;15;1.0
156;16; widening;12;8;0.5333333333333333;3;0.2;4;0.26666666666666666;15;1.0
157;16; widening;15;5;0.3333333333333333;2;0.13333333333333333;8;0.5333333333333333;15;1.0
158;16; widening;18;7;0.4666666666666667;1;0.06666666666666667;7;0.4666666666666667;15;1.0
159;16; widening;21;9;0.6;5;0.3333333333333333;1;0.06666666666666667;15;1.0
160;16; widening;6;10;0.6666666666666666;1;0.06666666666666667;4;0.26666666666666666;15;1.0
